"Movie ID","Byte Length","Stub v/s Not Stub",,,
142,5838,"Generic",,,
143,15717,"Generic",,,
144,7264,"Generic",,,
145,9812,"Generic",,,
146,7324,"Generic",,,
147,9377,"Generic",,,
148,63320,"Generic",,,
149,10567,"Generic",,,
150,4842,"Stub",,,
151,8849,"Generic",,,
152,9278,"Generic",,,
153,7980,"Generic",,,
154,7304,"Generic",,,
155,7841,"Generic",,,
156,9445,"Generic",,,
157,3113,"Stub",,,
158,7218,"Generic",,,
159,27039,"Generic",,,
160,31015,"Generic",,,
161,17093,"Generic",,,
162,5815,"Generic",,,
163,34263,"Generic",,,
164,9465,"Generic",,,
165,7672,"Generic",,,
166,9452,"Generic",,,
167,62057,"Generic",,,
168,39790,"Generic",,,
169,3670,"Stub",,,
170,32342,"Generic",,,
171,9566,"Generic",,,
172,29179,"Generic",,,
173,46612,"Generic",,,
174,23313,"Generic",,,
175,8658,"Generic",,,
176,15875,"Generic",,,
177,18414,"Generic",,,
178,8245,"Generic",,,
179,13544,"Generic",,,
180,5908,"Generic",,,
181,12524,"Generic",,,
182,6902,"Generic",,,
183,14323,"Generic",,,
184,20319,"Generic",,,
185,9696,"Generic",,,
186,15530,"Generic",,,
187,12420,"Generic",,,
188,6599,"Generic",,,
189,15765,"Generic",,,
190,5319,"Generic",,,
191,8181,"Generic",,,
192,13187,"Generic",,,
193,14029,"Generic",,,
194,8246,"Generic",,,
195,12095,"Generic",,,
196,12217,"Generic",,,
197,13234,"Generic",,,
198,15862,"Generic",,,
199,10848,"Generic",,,
200,13232,"Generic",,,
201,15792,"Generic",,,
202,11177,"Generic",,,
203,8675,"Generic",,,
204,7478,"Generic",,,
205,6729,"Generic",,,
206,10319,"Generic",,,
207,7495,"Generic",,,
208,9637,"Generic",,,
209,6590,"Generic",,,
210,11422,"Generic",,,
211,8257,"Generic",,,
212,11616,"Generic",,,
213,6545,"Generic",,,
214,13619,"Generic",,,
215,5432,"Generic",,,
216,12620,"Generic",,,
217,14633,"Generic",,,
218,7288,"Generic",,,
219,7782,"Generic",,,
220,41213,"Generic",,,
221,8798,"Generic",,,
222,9113,"Generic",,,
223,9346,"Generic",,,
224,14315,"Generic",,,
225,13462,"Generic",,,
226,11679,"Generic",,,
227,8089,"Generic",,,
228,5180,"Generic",,,
229,12990,"Generic",,,
230,10648,"Generic",,,
231,10872,"Generic",,,
232,19916,"Generic",,,
233,5312,"Generic",,,
234,9364,"Generic",,,
235,15214,"Generic",,,
236,7327,"Generic",,,
237,8315,"Generic",,,
238,15448,"Generic",,,
239,26524,"Generic",,,
240,8036,"Generic",,,
241,13556,"Generic",,,
242,23221,"Generic",,,
243,35964,"Generic",,,
244,8302,"Generic",,,
245,11265,"Generic",,,
246,47930,"Generic",,,
247,12925,"Generic",,,
248,6792,"Generic",,,
249,50908,"Generic",,,
250,47156,"Generic",,,
251,34335,"Generic",,,
252,5018,"Generic",,,
253,4689,"Stub",,,
254,16339,"Generic",,,
255,23824,"Generic",,,
256,12293,"Generic",,,
257,19033,"Generic",,,
258,12252,"Generic",,,
259,27694,"Generic",,,
260,9706,"Generic",,,
261,14135,"Generic",,,
262,6762,"Generic",,,
263,8236,"Generic",,,
264,9994,"Generic",,,
265,8664,"Generic",,,
266,12310,"Generic",,,
267,39974,"Generic",,,
268,7777,"Generic",,,
269,10735,"Generic",,,
270,11394,"Generic",,,
271,24261,"Generic",,,
272,8815,"Generic",,,
273,8052,"Generic",,,
274,13547,"Generic",,,
275,8761,"Generic",,,
276,6877,"Generic",,,
277,8257,"Generic",,,
278,11015,"Generic",,,
279,16094,"Generic",,,
280,17357,"Generic",,,
281,9433,"Generic",,,
282,6141,"Generic",,,
283,8071,"Generic",,,
284,8568,"Generic",,,
285,9036,"Generic",,,
286,16665,"Generic",,,
287,8382,"Generic",,,
288,9122,"Generic",,,
289,9362,"Generic",,,
290,10942,"Generic",,,
291,14552,"Generic",,,
292,15023,"Generic",,,
293,13888,"Generic",,,
294,9283,"Generic",,,
295,7047,"Generic",,,
296,8002,"Generic",,,
297,7513,"Generic",,,
298,6579,"Generic",,,
299,7074,"Generic",,,
300,9326,"Generic",,,
301,15026,"Generic",,,
302,10039,"Generic",,,
303,10649,"Generic",,,
304,7777,"Generic",,,
305,8373,"Generic",,,
306,6538,"Generic",,,
307,6296,"Generic",,,
308,43250,"Generic",,,
309,5976,"Generic",,,
310,8496,"Generic",,,
311,10929,"Generic",,,
312,10688,"Generic",,,
313,6896,"Generic",,,
314,22920,"Generic",,,
315,68975,"Generic",,,
316,8210,"Generic",,,
317,11018,"Generic",,,
